,name,scores,texts
0,1527665,5,"really happy they got evangelised .. spoiler alert==happy ending liked that..since started bit worrisome... but yeah great stories these missionary movies, really short only half hour but still great"
1,1527665,5,"Having lived in West New Guinea (Papua) during the time period covered in this video, it is realistic, accurate, and conveys well the entrance of light and truth into a culture that was for centuries dead to and alienated from God."
2,1527665,5,Excellent look into contextualizing the Gospel and God's sovereignty over cultural barriers. The book and movie are both captivating. I would definitely recommend to both Christians and non-believers.
3,1527665,5,"More than anything, I've been challenged to find ways to share Christ is a culturally relevant way to those around me.  Peace child is a cherished ""how to"" for me to do that."
4,1527665,4,"This is a great movie for a missionary going into a foreign country, especially one that is not used to foreign presence. But, it was a little on the short side."
5,1527665,5,This movie was in ENGLISH....it was a great summary of the book and the experience of the Richardsons while in New Guinea.
6,1527665,5,"This is a fascinating true story, well acted by many of the actual characters.  Watch this and see just one of countless examples of how faithfully God works out ways for all of mankind to find Him, in every culture."
7,1527665,1,This DVD appears to be in German. It is not in english. I do not speak German.  This needs to be corrected. I want my $1.99 back.
8,1527665,1,This movie is not in English although the title of the movie is as is the book. There is no forewarning anywhere that the movie is not in English. Sounds like it might be Russian?
16,000503860X,4,"It is an excellent experience to watch this DVD after all these years of being an X fan.  It was also very cool to watch this right after a repeated viewing of the DVD X--The Unheard Music (1985).  X still has every ounce of energy and connection it had back then. The only reason I gave it four stars is that John Doe's Bass is overshadowed in the mix.  But having said that, it is a DVD I will treasure for years to come."
17,000503860X,5,"I have a thing against purchasing live DVDs. After all, how many times do you want to sit and watch a gig that you probably weren't even there for in the first place?

But as a dedicated X fan, I couldn't resist checking this out, and I'm thrilled that I did. This is the band in top-notch form.

It's encouraging that people who weren't around L.A. during X's heyday are finally clueing in to how historically important they were, and still are. And this DVD proves they're still as vital and viable as ever.

Do yourself a favor. If you've wandered to this page, there must be a reason. Don't leave without purchasing this DVD. You'll be glad you did, whether you're a diehard fan like myself, or a fan of music who is simply curious. All hail X, and may they continue to make music together for years to come."
18,000503860X,5,"This DVD is unbelievable!  If you are a fan of punk rock, you have to own this DVD.  They play all of their classic songs and the bonus footage is amazing.  I think my favorite part is when they play ""White Girl.""  X has been around for a long time and this is their first live concert DVD, so it makes it even more awesome.  And the liner notes by Flea of The Red Hot Chili Peppers are really cool too.  Definitely buy this DVD!  It's worth every penny!"
19,000503860X,5,"Just brought this DVD home, and it rocks.  Those uninitiated to this great band don't know, but the fans understand, that this is a band that never disappoints live, and I can vouch for this having seen them 25+ times with and without Billy Zoom, solo, and in their Knitters incarnation.  The cool thing about this DVD is that it does not feel nostalgic - unlike the recent Blasters DVD (also by the good folks at Shout!).  The Blasters were and are a fine band, but one look at the audience on that DVD shows that the thrill is, if not gone, definitely waning.  No so with X.  Fans are still passionate, the playing and singing are still passionate, like the band still totally believes in what they are doing, and it shows.  So, fans will love it, but can this win over some new fans?  That's the question.  If you love the band, this DVD is a must buy.  For those of you with tangential interest, or who love other great bands like The Ramones, The Clash etc., or all of you on the east coast not too familiar with the band, take the plunge.  This DVD rocks.  Dare I ask....rock and roll hall of fame anyone????"
20,000503860X,5,"This is exactly how a concert DVD should be done. Tons of cudos to the editors and director of ""X Live in Los Angeles"". Thank you for just showing this amazing live performace, of one of Los Angeles greatests bands. Not .5 seconds rapid fire editing that would make someone sick to their stomach, just simple edits that emphises the music. When Billy Zoom does a solo the camera is actually on......Billy Zoom. Now to the performance. Basically, X still has it, in spades. The song selection is good, John Doe sounds as great as ever and the band is smoking.

I have seen X do faster paced sets in my day but this one is very good. Although the DVD is excellent, the best way to experience this show is to get as many people as you can into your living room, turn the heater onto around 100 degrees and blast this sucker. Now we're living."
21,000503860X,5,"I have seen X live many times, both in the early days and their more recent reunion shows. Trust me when I say this: they never disappoint as a live band! This DVD document of a show on their home turf of LA is a dream come true. Can't wait."
22,000503860X,5,"I was so excited for this!  Finally, a live concert video from X!  I've seen them twice, both times with Tony G. on guitar (he was superb by the way).  But we all know you HAVE to have Billy Zoom in the band. I haven't been able to see them, but this DVD will do the trick.  This DVD is AMAZING!! One listen/viewing makes me instantly forget all the ""power pop"" ""punk"" bands that are around now.  Their sound is fantastic, full, fast, heavy, thrilling!  All the members sound excellent, period.  I'm hopeful that there will be a tour, come on X!  Us old fogeys would like to see you old fogeys play your beautiful music for us!! UPDATE:  I've been so lucky to catch X a couple of times with Billy on guitar since I wrote this, it was just incredible seeing them, this DVD does give an accurate view of what it is like to have X RIPPING it up in concert!  cheers."
